E5900100,EMPLOYERS_ALL_IND_1979.01
E5900200,EMPLOYERS_ALL_IND_1979.02
E5900300,EMPLOYERS_ALL_IND_1979.03
E5900400,EMPLOYERS_ALL_IND_1979.04
E5900500,EMPLOYERS_ALL_IND_1979.05
E5910100,EMPLOYERS_ALL_IND_1980.01
E5910200,EMPLOYERS_ALL_IND_1980.02
E5910300,EMPLOYERS_ALL_IND_1980.03
E5910400,EMPLOYERS_ALL_IND_1980.04
E5910500,EMPLOYERS_ALL_IND_1980.05
E5910600,EMPLOYERS_ALL_IND_1980.06
E5910700,EMPLOYERS_ALL_IND_1980.07
E5910800,EMPLOYERS_ALL_IND_1980.08
E5910900,EMPLOYERS_ALL_IND_1980.09
E5911000,EMPLOYERS_ALL_IND_1980.10
E5920100,EMPLOYERS_ALL_IND_1981.01
E5920200,EMPLOYERS_ALL_IND_1981.02
E5920300,EMPLOYERS_ALL_IND_1981.03
E5920400,EMPLOYERS_ALL_IND_1981.04
E5920500,EMPLOYERS_ALL_IND_1981.05
E5920600,EMPLOYERS_ALL_IND_1981.06
E5920700,EMPLOYERS_ALL_IND_1981.07
E5920800,EMPLOYERS_ALL_IND_1981.08
E5920900,EMPLOYERS_ALL_IND_1981.09
E5921000,EMPLOYERS_ALL_IND_1981.10
E5921100,EMPLOYERS_ALL_IND_1981.11
E5921200,EMPLOYERS_ALL_IND_1981.12
E5921300,EMPLOYERS_ALL_IND_1981.13
E5930100,EMPLOYERS_ALL_IND_1982.01
E5930200,EMPLOYERS_ALL_IND_1982.02
E5930300,EMPLOYERS_ALL_IND_1982.03
E5930400,EMPLOYERS_ALL_IND_1982.04
E5930500,EMPLOYERS_ALL_IND_1982.05
E5930600,EMPLOYERS_ALL_IND_1982.06
E5930700,EMPLOYERS_ALL_IND_1982.07
E5930800,EMPLOYERS_ALL_IND_1982.08
E5930900,EMPLOYERS_ALL_IND_1982.09
E5931000,EMPLOYERS_ALL_IND_1982.10
E5931100,EMPLOYERS_ALL_IND_1982.11
E5931200,EMPLOYERS_ALL_IND_1982.12
E5931300,EMPLOYERS_ALL_IND_1982.13
E5931400,EMPLOYERS_ALL_IND_1982.14
E5931500,EMPLOYERS_ALL_IND_1982.15
E5931600,EMPLOYERS_ALL_IND_1982.16
E5931700,EMPLOYERS_ALL_IND_1982.18
E5940100,EMPLOYERS_ALL_IND_1983.01
E5940200,EMPLOYERS_ALL_IND_1983.02
E5940300,EMPLOYERS_ALL_IND_1983.03
E5940400,EMPLOYERS_ALL_IND_1983.04
E5940500,EMPLOYERS_ALL_IND_1983.05
E5940600,EMPLOYERS_ALL_IND_1983.06
E5940700,EMPLOYERS_ALL_IND_1983.07
E5940800,EMPLOYERS_ALL_IND_1983.08
E5940900,EMPLOYERS_ALL_IND_1983.09
E5941000,EMPLOYERS_ALL_IND_1983.10
E5941100,EMPLOYERS_ALL_IND_1983.11
E5941200,EMPLOYERS_ALL_IND_1983.12
E5941300,EMPLOYERS_ALL_IND_1983.13
E5941400,EMPLOYERS_ALL_IND_1983.14
E5941500,EMPLOYERS_ALL_IND_1983.15
E5941600,EMPLOYERS_ALL_IND_1983.16
E5941700,EMPLOYERS_ALL_IND_1983.17
E5941800,EMPLOYERS_ALL_IND_1983.18
E5941900,EMPLOYERS_ALL_IND_1983.19
E5942000,EMPLOYERS_ALL_IND_1983.20
