R0000100,PUBID,PUBID_R0000100
R0171900,COW_YEMP-58500.01,COW_YEMP-58500.01_R0171900
R0172000,COW_YEMP-58500.02,COW_YEMP-58500.02_R0172000
R0172100,COW_YEMP-58500.03,COW_YEMP-58500.03_R0172100
R0172200,COW_YEMP-58500.04,COW_YEMP-58500.04_R0172200
R0172300,COW_YEMP-58500.05,COW_YEMP-58500.05_R0172300
R0172400,COW_YEMP-58500.06,COW_YEMP-58500.06_R0172400
R0172500,COW_YEMP-58500.07,COW_YEMP-58500.07_R0172500
R0244000,UNION_YEMP-101100.01,UNION_YEMP-101100.01_R0244000
R0244100,UNION_YEMP-101100.02,UNION_YEMP-101100.02_R0244100
R0244200,UNION_YEMP-101100.03,UNION_YEMP-101100.03_R0244200
R0244300,UNION_YEMP-101100.04,UNION_YEMP-101100.04_R0244300
R0244400,UNION_YEMP-101100.05,UNION_YEMP-101100.05_R0244400
R0244500,UNION_YEMP-101100.06,UNION_YEMP-101100.06_R0244500
R0244600,UNION_YEMP-101100.07,UNION_YEMP-101100.07_R0244600
R0244700,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_R0244700
R0244800,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_R0244800
R0244900,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_R0244900
R0245000,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_R0245000
R0245100,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_R0245100
R0245200,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_R0245200
R0245300,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_R0245300
R0529701,YEMP_STARTDATE.01_M,YEMP_STARTDATE.01_M_R0529701
R0529702,YEMP_STARTDATE.01_Y,YEMP_STARTDATE.01_Y_R0529702
R0529801,YEMP_STARTDATE.02_M,YEMP_STARTDATE.02_M_R0529801
R0529802,YEMP_STARTDATE.02_Y,YEMP_STARTDATE.02_Y_R0529802
R0529901,YEMP_STARTDATE.03_M,YEMP_STARTDATE.03_M_R0529901
R0529902,YEMP_STARTDATE.03_Y,YEMP_STARTDATE.03_Y_R0529902
R0530001,YEMP_STARTDATE.04_M,YEMP_STARTDATE.04_M_R0530001
R0530002,YEMP_STARTDATE.04_Y,YEMP_STARTDATE.04_Y_R0530002
R0530101,YEMP_STARTDATE.05_M,YEMP_STARTDATE.05_M_R0530101
R0530102,YEMP_STARTDATE.05_Y,YEMP_STARTDATE.05_Y_R0530102
R0530201,YEMP_STARTDATE.06_M,YEMP_STARTDATE.06_M_R0530201
R0530202,YEMP_STARTDATE.06_Y,YEMP_STARTDATE.06_Y_R0530202
R0530301,YEMP_STARTDATE.07_M,YEMP_STARTDATE.07_M_R0530301
R0530302,YEMP_STARTDATE.07_Y,YEMP_STARTDATE.07_Y_R0530302
R0530401,YEMP_STOPDATE.01_M,YEMP_STOPDATE.01_M_R0530401
R0530402,YEMP_STOPDATE.01_Y,YEMP_STOPDATE.01_Y_R0530402
R0530501,YEMP_STOPDATE.02_M,YEMP_STOPDATE.02_M_R0530501
R0530502,YEMP_STOPDATE.02_Y,YEMP_STOPDATE.02_Y_R0530502
R0530601,YEMP_STOPDATE.03_M,YEMP_STOPDATE.03_M_R0530601
R0530602,YEMP_STOPDATE.03_Y,YEMP_STOPDATE.03_Y_R0530602
R0530701,YEMP_STOPDATE.04_M,YEMP_STOPDATE.04_M_R0530701
R0530702,YEMP_STOPDATE.04_Y,YEMP_STOPDATE.04_Y_R0530702
R0530801,YEMP_STOPDATE.05_M,YEMP_STOPDATE.05_M_R0530801
R0530802,YEMP_STOPDATE.05_Y,YEMP_STOPDATE.05_Y_R0530802
R0530901,YEMP_STOPDATE.06_M,YEMP_STOPDATE.06_M_R0530901
R0530902,YEMP_STOPDATE.06_Y,YEMP_STOPDATE.06_Y_R0530902
R0531001,YEMP_STOPDATE.07_M,YEMP_STOPDATE.07_M_R0531001
R0531002,YEMP_STOPDATE.07_Y,YEMP_STOPDATE.07_Y_R0531002
R0536300,KEY!SEX,KEY!SEX_R0536300
R0536401,KEY!BDATE_M,KEY!BDATE_M_R0536401
R0536402,KEY!BDATE_Y,KEY!BDATE_Y_R0536402
R0552200,RELIGION-P2-013,RELIGION-P2-013_R0552200
R1194100,CV_AGE_INT_DATE,CV_AGE_INT_DATE_R1194100
R1204500,CV_INCOME_GROSS_YR,CV_INCOME_GROSS_YR_R1204500
R1208500,CV_HRLY_PAY.01,CV_HRLY_PAY.01_R1208500
R1208600,CV_HRLY_PAY.02,CV_HRLY_PAY.02_R1208600
R1208700,CV_HRLY_PAY.03,CV_HRLY_PAY.03_R1208700
R1208800,CV_HRLY_PAY.04,CV_HRLY_PAY.04_R1208800
R1208900,CV_HRLY_PAY.05,CV_HRLY_PAY.05_R1208900
R1209000,CV_HRLY_PAY.06,CV_HRLY_PAY.06_R1209000
R1209100,CV_HRLY_PAY.07,CV_HRLY_PAY.07_R1209100
R1217500,CV_URBAN-RURAL,CV_URBAN-RURAL_R1217500
R1235800,CV_SAMPLE_TYPE,CV_SAMPLE_TYPE_R1235800
R1482600,KEY!RACE_ETHNICITY,KEY!RACE_ETHNICITY_R1482600
R1846600,COW_YEMP-58500.01,COW_YEMP-58500.01_R1846600
R1846700,COW_YEMP-58500.02,COW_YEMP-58500.02_R1846700
R1846800,COW_YEMP-58500.03,COW_YEMP-58500.03_R1846800
R1846900,COW_YEMP-58500.04,COW_YEMP-58500.04_R1846900
R1847000,COW_YEMP-58500.05,COW_YEMP-58500.05_R1847000
R1847100,COW_YEMP-58500.06,COW_YEMP-58500.06_R1847100
R1847200,COW_YEMP-58500.07,COW_YEMP-58500.07_R1847200
R1847300,COW_YEMP-58500.08,COW_YEMP-58500.08_R1847300
R1847400,COW_YEMP-58500.09,COW_YEMP-58500.09_R1847400
R2050000,UNION_YEMP-101100.01,UNION_YEMP-101100.01_R2050000
R2050100,UNION_YEMP-101100.02,UNION_YEMP-101100.02_R2050100
R2050200,UNION_YEMP-101100.03,UNION_YEMP-101100.03_R2050200
R2050300,UNION_YEMP-101100.04,UNION_YEMP-101100.04_R2050300
R2050400,UNION_YEMP-101100.05,UNION_YEMP-101100.05_R2050400
R2050500,UNION_YEMP-101100.06,UNION_YEMP-101100.06_R2050500
R2050600,UNION_YEMP-101100.07,UNION_YEMP-101100.07_R2050600
R2050700,UNION_YEMP-101100.09,UNION_YEMP-101100.09_R2050700
R2050800,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_R2050800
R2050900,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_R2050900
R2051000,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_R2051000
R2051100,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_R2051100
R2051200,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_R2051200
R2051300,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_R2051300
R2051400,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_R2051400
R2051500,JOB-SATISFACTION_YEMP-101200.09,JOB-SATISFACTION_YEMP-101200.09_R2051500
R2472501,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_R2472501
R2472502,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_R2472502
R2472601,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_R2472601
R2472602,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_R2472602
R2472701,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_R2472701
R2472702,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_R2472702
R2472801,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_R2472801
R2472802,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_R2472802
R2472901,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_R2472901
R2472902,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_R2472902
R2473001,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_R2473001
