R0000100,PUBID
R0171900,YEMP-58500.01
R0172000,YEMP-58500.02
R0172100,YEMP-58500.03
R0172200,YEMP-58500.04
R0172300,YEMP-58500.05
R0172400,YEMP-58500.06
R0172500,YEMP-58500.07
R0244000,YEMP-101100.01
R0244100,YEMP-101100.02
R0244200,YEMP-101100.03
R0244300,YEMP-101100.04
R0244400,YEMP-101100.05
R0244500,YEMP-101100.06
R0244600,YEMP-101100.07
R0244700,YEMP-101200.01
R0244800,YEMP-101200.02
R0244900,YEMP-101200.03
R0245000,YEMP-101200.04
R0245100,YEMP-101200.05
R0245200,YEMP-101200.06
R0245300,YEMP-101200.07
R0529701,YEMP_STARTDATE.01_M
R0529702,YEMP_STARTDATE.01_Y
R0529801,YEMP_STARTDATE.02_M
R0529802,YEMP_STARTDATE.02_Y
R0529901,YEMP_STARTDATE.03_M
R0529902,YEMP_STARTDATE.03_Y
R0530001,YEMP_STARTDATE.04_M
R0530002,YEMP_STARTDATE.04_Y
R0530101,YEMP_STARTDATE.05_M
R0530102,YEMP_STARTDATE.05_Y
R0530201,YEMP_STARTDATE.06_M
R0530202,YEMP_STARTDATE.06_Y
R0530301,YEMP_STARTDATE.07_M
R0530302,YEMP_STARTDATE.07_Y
R0530401,YEMP_STOPDATE.01_M
R0530402,YEMP_STOPDATE.01_Y
R0530501,YEMP_STOPDATE.02_M
R0530502,YEMP_STOPDATE.02_Y
R0530601,YEMP_STOPDATE.03_M
R0530602,YEMP_STOPDATE.03_Y
R0530701,YEMP_STOPDATE.04_M
R0530702,YEMP_STOPDATE.04_Y
R0530801,YEMP_STOPDATE.05_M
R0530802,YEMP_STOPDATE.05_Y
R0530901,YEMP_STOPDATE.06_M
R0530902,YEMP_STOPDATE.06_Y
R0531001,YEMP_STOPDATE.07_M
R0531002,YEMP_STOPDATE.07_Y
R0536300,KEY!SEX
R0536401,KEY!BDATE_M
R0536402,KEY!BDATE_Y
R0552200,P2-013
R1194100,CV_AGE_INT_DATE
R1204500,CV_INCOME_GROSS_YR
R1208500,CV_HRLY_PAY.01
