"","id","male","job_number","year","urban","highest_grade","family_income","employer_id","hourly_pay","hours_worked","job_satisfaction","union","cohort","tenure","avg_age_job_year","white","religious","personality_2","personality_4","personality_6","personality_8","personality_10","personality_1","personality_3","personality_5","personality_7","personality_9"
"1","2 _97","1",1,2008,"1",14,10.7288316106513,200802,4.09809751109141,40,1,1,"1997",1.50684931506849,25.2465753424658,"0","1",6,7,6,5,6,5,6,7,7,6
"2","4 _97","0",1,2000,"1",12,NA,200001,2.57337529777561,40,1,0,"1997",0.668493150684932,18.6657534246575,"0","1",3,1,4,3,4,5,7,7,5,7
"3","5 _97","1",1,2006,"1",12,12.1693101085846,200602,2.72654478373837,40,1,1,"1997",0.586301369863014,23.7068493150685,"0","1",7,3,5,2,1,7,7,7,6,6
"4","5 _97","1",2,2006,"1",12,12.1693101085846,200601,3.38642209608,40,0.5,1,"1997",0.328767123287671,23.8356164383562,"0","1",7,3,5,2,1,7,7,7,6,6
"5","6 _97","0",1,2004,"1",13,10.7789771230064,200402,2.6475922320651,30,0.75,1,"1997",0.328767123287671,22.8356164383562,"0","1",3,3,5,1,1,7,7,6,6,7
"6","9 _97","1",1,2017,"1",18,11.9564631915257,201702,3.55327734761192,55,0.75,1,"1997",1.41917808219178,34.2904109589041,"1","1",1,1,5,2,1,5,7,6,6,7
"7","13 _97","1",1,2003,"1",10,10.9823392130261,200302,4.18965474202643,20,1,0,"1997",0.336986301369863,17.8315068493151,"0","1",5,6,7,4,3,5,6,6,4,3
"8","20 _97","1",1,1999,"1",8,NA,199902,2.18829594659192,20,0.5,0,"1997",0.252054794520548,18.8739726027397,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","21 _97","1",1,2015,"1",13,10.5553178244594,201501,2.40694510831829,40,1,0,"1997",1.74794520547945,32.1260273972603,"0","1",NA,1,6,1,2,5,7,6,6,4
"10","21 _97","1",1,2017,"1",13,10.2887839663538,201702,2.58399755243223,35,1,0,"1997",1.33424657534247,34.3328767123288,"0","1",NA,1,6,1,2,5,7,6,6,4
"11","22 _97","1",2,2001,"1",11,0,200101,2.13120347623843,40,0.25,1,"1997",0.580821917808219,18.7095890410959,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","25 _97","0",1,1999,"1",8,NA,199901,1.98094629493074,4,0.5,0,"1997",0.252054794520548,15.8739726027397,"0","1",1,7,2,5,5,5,5,5,5,6
"13","27 _97","1",1,2000,"1",9,8.8538082749772,200001,2.70805020110221,25,0.5,1,"1997",0.586301369863014,18.7068493150685,"0","0",7,3,2,4,4,5,6,7,6,5
"14","27 _97","1",1,2001,"1",9,8.59433940059289,200001,2.2082744135228,40,0.75,1,"1997",0.249315068493151,19.8753424657534,"0","0",7,3,2,4,4,5,6,7,6,5
"15","28 _97","0",1,2006,"1",18,NA,200602,2.93017990531375,40,0.75,1,"1997",0.504109589041096,22.7479452054795,"0","1",3,3,5,1,6,5,7,5,5,7
"16","36 _97","0",1,1997,"1",12,11.0078499442959,9703,2.08908241871652,20,0.75,0,"1997",0.419178082191781,15.7904109589041,"1","1",5,5,5,1,4,4,7,6,6,6
"17","37 _97","0",1,2006,"1",17,NA,200603,2.97793992429424,40,1,1,"1997",0.915068493150685,25.5424657534247,"1","1",7,5,5,3,3,2,5,5,3,4
"18","47 _97","0",1,2000,"1",12,9.03610602536485,200001,2.08293543093409,10,1,1,"1997",NA,NA,"0","1",1,5,6,7,6,6,5,1,5,3
"19","48 _97","0",1,2005,"1",14,NA,200502,2.76506045581899,40,0.75,0,"1997",0.336986301369863,21.8315068493151,"0","1",4,1,4,4,1,6,6,6,6,6
"20","48 _97","0",1,2009,"1",16,11.2031477382442,200902,3.29025092326476,40,0.75,1,"1997",0.668493150684932,25.6657534246575,"0","1",4,1,4,4,1,6,6,6,6,6
"21","52 _97","1",1,2008,"1",12,NA,200802,2.56371783021229,40,0.75,0,"1997",1.0027397260274,23.4986301369863,"0","1",4,5,3,4,4,5,6,7,6,5
"22","55 _97","0",1,1998,"1",11,NA,9801,2.14832607396497,24,0.25,0,"1997",1.08493150684932,17.4575342465753,"0","1",2,3,5,3,1,5,7,6,6,5
"23","55 _97","0",1,2007,"0",15,10.4320843297872,200701,2.7666838225844,18,0.75,0,"1997",0.832876712328767,25.5835616438356,"0","1",2,3,5,3,1,5,7,6,6,5
"24","56 _97","0",1,2004,"1",16,13.198123772127,200402,2.83321334405622,40,1,0,"1997",0.252054794520548,21.8739726027397,"1","1",4,3,2,5,6,6,5,7,6,6
"25","58 _97","1",1,2006,"1",14,9.72082593792907,200602,3.08305610172567,40,0.5,1,"1997",0.671232876712329,22.6643835616438,"0","1",3,5,6,4,1,6,6,7,6,7
"26","58 _97","1",1,2015,"1",14,11.0921081119074,201503,3.69708073151203,40,0.75,1,"1997",2.4986301369863,30.7506849315069,"0","1",3,5,6,4,1,6,6,7,6,7
"27","59 _97","0",1,2000,"1",13,10.6817476424693,200001,2.43256016941579,18,0.25,0,"1997",1.0027397260274,18.4986301369863,"0","1",5,3,1,2,5,7,7,5,5,7
"28","61 _97","0",1,2008,"1",14,NA,200802,NA,0,1,0,"1997",0.504109589041096,24.7479452054795,"0","1",5,4,2,4,1,7,7,6,7,7
"29","64 _97","1",1,2017,"1",12,11.4927329616823,201702,3.52568382511846,40,1,1,"1997",3.75068493150685,35.1246575342466,"0","1",2,5,7,1,7,6,7,7,2,7
"30","66 _97","1",1,2001,"1",14,NA,200102,0,40,1,0,"1997",0.419178082191781,20.7904109589041,"0","1",5,2,3,1,6,6,7,6,6,2
"31","67 _97","1",2,2013,"1",19,NA,201302,NA,8,1,1,"1997",2.0027397260274,31.9986301369863,"0","1",4,1,4,1,3,6,5,3,6,7
"32","69 _97","0",1,2008,"1",20,11.6162128331421,200802,3.41444260841218,40,0.25,0,"1997",1.0027397260274,26.4986301369863,"0","1",1,2,6,1,1,6,7,7,7,2
"33","69 _97","0",1,2011,"1",20,11.80500535284,201102,3.51017136088982,40,0.75,0,"1997",0.334246575342466,29.8328767123288,"0","1",1,2,6,1,1,6,7,7,7,2
"34","73 _97","1",3,2001,"1",11,NA,200002,2.04769284336526,24,1,0,"1997",0.252054794520548,16.8739726027397,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","73 _97","1",1,2006,"1",14,10.9937483981152,200602,3.30772151846998,40,0.25,1,"1997",0.252054794520548,21.8739726027397,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","74 _97","1",3,2010,"1",19,9.16309151937557,201001,0.0530667209366922,20,1,0,"1997",0.663013698630137,26.6684931506849,"1","1",2,4,2,1,2,7,6,6,4,1
"37","76 _97","1",2,2006,"1",12,11.4899004112304,200602,2.83702958235867,40,0.5,1,"1997",0.336986301369863,23.8315068493151,"1","1",4,4,6,7,4,5,6,7,4,4
"38","81 _97","0",1,2005,"1",11,NA,200501,3.85128737745076,7,0.5,0,"1997",0.252054794520548,20.8739726027397,"0","1",5,7,5,3,3,7,7,5,5,6
"39","81 _97","0",1,2008,"1",11,9.03610602536485,200801,NA,NA,1,0,"1997",0.334246575342466,23.8328767123288,"0","1",5,7,5,3,3,7,7,5,5,6
"40","81 _97","0",1,2013,"1",11,10.1562287402893,201301,2.43928147176172,32,1,NA,"1997",1.41917808219178,28.2904109589041,"0","1",5,7,5,3,3,7,7,5,5,6
"41","86 _97","0",1,2007,"1",16,11.3132664797788,200702,3.03252696938247,40,1,NA,"1997",0.416438356164384,26.7917808219178,"1","1",1,1,2,6,1,6,6,6,6,7
"42","89 _97","1",2,2017,"1",20,12.3513929377051,201702,4.03454147785135,37,1,1,"1997",1.16712328767123,35.4164383561644,"1","1",5,4,5,1,3,5,7,6,5,6
"43","92 _97","1",1,2010,"1",12,11.3114333211006,201002,NA,3,0.75,0,"1997",0.252054794520548,26.8739726027397,"1","1",5,1,6,6,7,7,5,7,6,7
"44","94 _97","0",1,2002,"1",14,10.9959308520587,200202,2.99780013405599,35,0.75,1,"1997",0.915068493150685,21.5424657534247,"0","1",6,3,1,2,1,7,5,7,7,6
"45","96 _97","1",2,2008,"1",16,9.88333586432528,200801,2.96072666435518,40,1,1,"1997",5.83287671232877,23.0835616438356,"1","1",7,3,5,6,5,6,7,7,7,7
"46","97 _97","1",1,2003,"1",16,11.5829271607561,200301,3.34286180464919,36,1,0,"1997",0.334246575342466,22.8328767123288,"0","1",2,3,4,2,1,1,6,6,5,6
"47","105 _97","1",1,2006,"0",12,12.2056775674971,200602,2.76474554477876,40,1,1,"1997",0.419178082191781,22.7904109589041,"1","1",2,1,4,1,3,6,7,4,4,7
"48","107 _97","0",2,2002,"1",14,9.97306025588809,200203,2.46129678414887,12,1,0,"1997",0.249315068493151,19.8753424657534,"1","1",2,4,1,1,1,7,7,7,7,6
"49","107 _97","0",1,2004,"0",16,NA,200403,3.82092474303316,10,1,0,"1997",0.334246575342466,21.8328767123288,"1","1",2,4,1,1,1,7,7,7,7,6
"50","117 _97","1",1,2017,"1",12,10.442929787248,201702,2.80239021347657,NA,0.75,1,"1997",1.67123287671233,32.1643835616438,"0","1",2,5,4,2,7,6,6,6,3,7
"51","119 _97","1",2,2007,"1",16,11.8564158736505,200701,2.92046978905344,35,0.75,0,"1997",1.16712328767123,24.4164383561644,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","120 _97","1",1,2013,"1",19,11.23325124392,201303,3.58664460402555,50,1,1,"1997",6.50958904109589,27.7452054794521,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","120 _97","1",4,2013,"1",19,11.23325124392,201301,2.98659566154183,40,0,1,"1997",1.74794520547945,30.1260273972603,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","121 _97","1",1,1998,"1",10,NA,9801,2.3425747412102,20,0.75,1,"1997",0.671232876712329,16.6643835616438,"1","1",2,2,5,2,2,5,6,5,5,6
"55","128 _97","0",1,2002,"1",14,11.6460217629548,200203,2.66722820658195,23,1,0,"1997",0.504109589041096,19.7479452054795,"1","1",5,1,1,1,4,7,7,7,7,7
"56","132 _97","1",1,2006,"1",17,12.1296450620802,200601,3.26728115309302,40,0.75,1,"1997",0.419178082191781,22.7904109589041,"1","1",1,1,3,3,2,5,7,3,5,7
"57","143 _97","1",1,2005,"1",12,10.4075604277294,200502,NA,NA,0.75,0,"1997",1.58630136986301,23.2068493150685,"0","1",5,3,1,1,1,7,7,7,1,5
"58","146 _97","1",2,2003,"1",12,11.6699377607519,200303,2.63905732961526,24,1,0,"1997",0.252054794520548,18.8739726027397,"0","1",3,2,7,2,5,6,7,3,6,7
"59","149 _97","0",1,2000,"1",11,NA,200002,2.16332302566054,25,1,0,"1997",0.419178082191781,16.7904109589041,"0","1",7,7,7,1,7,7,7,7,7,1
"60","150 _97","1",1,2013,"1",14,0,201303,2.16619246808849,10,1,0,"1997",1,28.5,"0","1",7,5,3,1,1,7,6,NA,NA,NA
"61","150 _97","1",1,2017,"1",14,10.2887839663538,201002,2.75366071235426,25,1,0,"1997",1,33.5,"0","1",7,5,3,1,1,7,6,NA,NA,NA
"62","157 _97","0",1,2006,"1",16,11.8046692773767,200601,2.53389520697465,32,0.75,0,"1997",0.419178082191781,23.7904109589041,"0","1",5,7,5,5,2,5,7,1,7,7
"63","160 _97","0",1,2010,"1",12,10.7950449209896,201002,2.1863321361698,40,0.5,1,"1997",0.419178082191781,28.7904109589041,"0","1",4,2,3,1,1,6,7,7,7,7
"64","162 _97","0",1,2008,"1",15,10.7823048438867,200802,3.30309931932217,37,0.75,1,"1997",0.328767123287671,26.8356164383562,"0","1",5,4,6,5,1,6,6,6,6,6
"65","165 _97","1",1,1997,"1",13,NA,9701,2.14294437042315,30,0.5,0,"1997",0.0849315068493151,16.9575342465753,"1","1",1,1,1,1,1,7,7,7,7,7
"66","165 _97","1",1,2001,"1",15,11.7187275179243,200101,3.19329131465537,13,1,0,"1997",1.32876712328767,21.3356164383562,"1","1",1,1,1,1,1,7,7,7,7,7
"67","166 _97","0",1,2001,"1",13,11.4347044303756,200101,2.52372664163758,15,1,0,"1997",1.16164383561644,18.4191780821918,"1","1",2,5,2,1,2,5,7,6,7,4
"68","176 _97","1",1,2004,"1",16,NA,200404,2.4748563139345,7,1,0,"1997",0.334246575342466,21.8328767123288,"1","1",4,3,4,2,3,6,6,7,6,6
"69","178 _97","0",1,2004,NA,16,NA,200402,3.32515112198585,40,1,1,"1997",1.75068493150685,24.1246575342466,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","178 _97","0",2,2004,NA,16,NA,200401,3.08893113518477,37,1,0,"1997",0.747945205479452,24.6260273972603,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","178 _97","0",1,2009,NA,18,11.2107522343626,200902,3.18430094310841,40,0.75,1,"1997",0.419178082191781,28.7904109589041,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","181 _97","0",1,2004,"1",15,NA,200401,2.36085400111802,17,1,0,"1997",0.753424657534247,21.6232876712329,"1","1",2,1,2,6,2,6,6,7,6,6
"73","185 _97","1",4,2004,"1",12,11.1154434073529,200402,2.62466859216316,40,1,0,"1997",0.252054794520548,22.8739726027397,"0","1",1,2,7,1,1,7,5,4,7,5
"74","187 _97","1",2,2006,"1",17,NA,200602,2.93651291389402,21,0.75,0,"1997",0.419178082191781,22.7904109589041,"0","1",2,1,2,1,3,6,7,6,4,7
"75","187 _97","1",1,2007,"1",16,11.3822585372746,200703,NA,50,1,0,"1997",0.671232876712329,23.6643835616438,"0","1",2,1,2,1,3,6,7,6,4,7
"76","192 _97","0",1,2013,"1",12,10.6651250449878,201302,2.71882527427017,40,0.5,0,"1997",1.08493150684932,30.4575342465753,"0","1",2,4,1,1,1,7,7,6,7,6
"77","197 _97","0",1,2011,"1",20,NA,201104,3.50076515171912,40,1,1,"1997",2.24931506849315,28.8753424657534,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","204 _97","0",2,1998,"1",10,NA,9805,2.28442112236637,40,1,0,"1997",0.252054794520548,16.8739726027397,"1","1",6,4,2,1,1,6,7,6,6,6
"79","204 _97","0",1,1999,"1",11,NA,9805,2.26592110862245,18,0.75,0,"1997",1.41917808219178,17.2904109589041,"1","1",6,4,2,1,1,6,7,6,6,6
"80","208 _97","0",1,2013,"1",16,11.4938292880792,201305,3.44796963820891,40,0.75,1,"1997",-1.58904109589041,30.7945205479452,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
