"","id","job_number","year","highest_grade","family_income","tenure","hours_worked","hourly_pay","employer_id","union","job_satisfaction","cohort","avg_age_job_year","male","white","religious","urban","pay_tenure","pay_age"
"1","17 _79",1,2008,12,0.601461550894186,-4.34230769230769,0,0,20060100,1,10,1979,-2.02884615384615,1,1,1,1,-165.007692307692,-77.0961538461538
"2","17 _79",1,2010,12,0.513290325473417,-2.53461538461538,0,0,20060100,1,10,1979,-0.932692307692307,1,1,1,1,-96.3153846153846,-35.4423076923076
"3","17 _79",1,2012,12,0.0816165506191364,0.0807692307692314,0,0,20060100,1,7,1979,-0.24038461538462,1,1,1,1,3.06923076923078,-9.1346153846157
"4","17 _79",1,2014,12,0.167938547540539,2.46538461538462,0,0,20060100,1,7,1979,1.56730769230769,1,1,1,1,93.6846153846154,59.5576923076924
"5","17 _79",1,2016,12,0.22893909102241,4.33076923076923,0,0,20060100,1,7,1979,1.63461538461538,1,1,1,1,164.569230769231,62.1153846153843
"6","37 _79",1,2000,12,0.861951677078164,-9.12087912087912,0,0,19980100,1,7,1979,-5.15384615384615,0,1,1,0,-319.230769230769,-180.384615384615
"7","37 _79",1,2004,12,1.00883448969929,-5.4478021978022,0,0,19980100,1,10,1979,-1.99038461538461,0,1,1,1,-190.673076923077,-69.6634615384614
"8","37 _79",1,2008,12,0.90695198159246,-1.6978021978022,0,0,19980100,1,10,1979,-0.865384615384613,0,1,1,1,-59.423076923077,-30.2884615384614
"9","37 _79",1,2010,12,1.14861308786706,0.37912087912088,0,0,19980100,1,7,1979,0.0961538461538467,0,1,1,1,13.2692307692308,3.36538461538453
"10","37 _79",1,2012,12,0.808351481990851,3.43681318681319,0,0,19980100,1,7,1979,1.56730769230769,0,1,1,1,120.288461538462,54.8557692307693
"11","37 _79",1,2014,12,1.05618427670959,5.20604395604396,0,0,19980100,1,7,1979,2.68269230769231,0,1,1,1,182.211538461538,93.8942307692309
"12","37 _79",1,2016,12,1.13142835776804,7.24450549450549,0,0,19980100,1,7,1979,3.66346153846154,0,1,1,1,253.557692307692,128.221153846154
"13","38 _79",1,1994,12,0.662083840930382,-10.9615384615385,-4.18181818181818,-4.18181818181818,19870100,1,4,1979,-5.70104895104895,0,1,1,1,-477.259324009324,-343.370337995338
"14","38 _79",1,1996,12,0.568436061231274,-9.07692307692308,-4.18181818181818,-4.18181818181818,19870100,1,7,1979,-4.64335664335664,0,1,1,1,-411.297785547786,-306.351107226107
"15","38 _79",1,1998,12,0.69318481559765,-7.05769230769231,-2.18181818181818,-2.18181818181818,19870100,1,7,1979,-3.65297202797203,0,1,1,0,-316.66317016317,-213.668414918415
"16","38 _79",1,2000,12,0.479641468273869,-4.82692307692308,0.81818181818182,0.81818181818182,19870100,0,10,1979,-2.76835664335664,0,1,1,0,-191.490093240093,-91.2549533799533
"17","38 _79",1,2002,12,0.382187223392426,-3.19230769230769,0.81818181818182,0.81818181818182,19870100,0,7,1979,-1.58566433566434,0,1,1,0,-126.105477855478,-43.947261072261
"18","38 _79",1,2004,12,0.715328402825101,-1.13461538461539,0.81818181818182,0.81818181818182,19870100,0,10,1979,-0.614510489510494,0,1,1,0,-43.7977855477855,-5.10110722610739
"19","38 _79",1,2008,12,0.895988753449792,2.84615384615384,0.81818181818182,0.81818181818182,19870100,0,10,1979,1.39510489510489,0,1,1,0,115.432983682984,75.2835081585083
"20","38 _79",1,2010,12,0.747605024133918,4.71153846153846,1.48484848484848,1.48484848484848,19870100,0,10,1979,2.46241258741259,0,1,1,0,205.881701631702,141.392482517482
"21","38 _79",1,2012,12,0.839293819875266,7.55769230769231,2.15151515151516,2.15151515151516,19870100,0,10,1979,4.03933566433567,0,1,1,1,339.356060606061,229.988636363637
"22","38 _79",1,2014,12,0.78470604704013,9.65384615384615,2.81818181818182,2.81818181818182,19870100,0,10,1979,4.99125874125874,0,1,1,1,445.125291375291,294.437354312354
"23","38 _79",1,2016,12,1.04465987921952,11.4807692307692,0.81818181818182,0.81818181818182,19870100,0,7,1979,6.0777972027972,0,1,1,1,460.817599067599,262.5912004662
"24","54 _79",2,1996,10,0.371078755445208,1.20192307692308,1.875,1.875,19870100,1,7,1979,-13.8509615384615,1,1,1,1,59.5865384615385,-454.043269230769
"25","54 _79",1,2010,11,-0.286453962790508,-4.20192307692308,0.375,0.375,20100100,1,7,1979,2.85096153846153,1,1,1,1,-158.932692307692,137.216346153846
"26","54 _79",1,2014,11,-0.26737158189381,0.932692307692307,-1.125,-1.125,20100100,1,10,1979,5.28365384615385,1,1,1,1,28.6826923076923,150.408653846154
"27","54 _79",1,2016,11,-0.323840621138558,2.06730769230769,-1.125,-1.125,20100100,1,7,1979,5.71634615384615,1,1,1,1,70.6634615384615,166.418269230769
"28","58 _79",1,2012,17,0.0181806842454684,-2.11538461538461,-3.88888888888889,-3.88888888888889,19790100,0,10,1979,-0.942307692307693,0,1,1,1,-228.557692307692,-190.165598290598
"29","58 _79",1,2014,17,1.04315366489229,0.25,-0.555555555555557,-0.555555555555557,19790100,0,10,1979,-0.125,0,1,1,1,-16.2500000000002,-29.6527777777776
"30","58 _79",1,2016,17,1.11762245846599,1.86538461538462,4.44444444444444,4.44444444444444,19790100,0,10,1979,1.06730769230769,0,1,1,1,244.807692307692,219.818376068376
"31","66 _79",1,1994,14,0.77443828656728,-2.25641025641026,0,0,19900100,1,7,1979,-2.2051282051282,1,1,1,1,-90.2564102564103,-88.2051282051282
"32","66 _79",1,1996,14,1.03054051592106,-0.275641025641026,0,0,19900100,1,7,1979,-1.19551282051282,1,1,1,1,-11.0256410256411,-47.8205128205127
"33","66 _79",2,2002,14,-0.365530034606062,2.53205128205128,0,0,19900100,0,7,1979,3.40064102564102,1,1,1,1,101.282051282051,136.025641025641
"34","76 _79",1,2002,14,0.450654244955484,-1,0,0,20020100,1,10,1979,-0.5,1,1,1,1,-40,-20
"35","76 _79",1,2004,14,0.435117306102567,1,0,0,20020100,1,7,1979,0.5,1,1,1,1,40,20
"36","80 _79",1,1994,16,-0.789009784937775,-6.73076923076923,0.285714285714285,0.285714285714285,19930200,0,10,1979,-4.06318681318681,1,1,1,1,-253.958791208791,-152.73489010989
"37","80 _79",1,1996,16,-1.13526868750632,-4.78846153846154,0.285714285714285,0.285714285714285,19930200,0,10,1979,-4.03434065934066,1,1,1,1,-176.266483516484,-151.581043956044
"38","80 _79",1,2000,16,-1.16391652133337,-0.596153846153846,-4.71428571428572,-4.71428571428572,19930200,0,10,1979,-1.1304945054945,1,1,1,1,-45.7857142857143,-201.821428571428
"39","80 _79",5,2000,16,-1.29066731409477,-7.76923076923077,6.28571428571428,6.28571428571428,20000500,1,7,1979,2.45604395604396,1,1,1,1,-293.881868131868,329.226648351648
"40","80 _79",1,2002,16,-1.41741810685618,1.11538461538461,0.285714285714285,0.285714285714285,19930200,0,7,1979,-0.986263736263737,1,1,1,1,59.8873626373626,-29.6579670329672
"41","80 _79",1,2004,16,-1.24966451892109,3.03846153846154,0.285714285714285,0.285714285714285,19930200,0,10,1979,1.0521978021978,1,1,1,1,136.81043956044,51.8804945054944
"42","80 _79",1,2016,16,-0.883438552515713,15.7307692307692,-2.71428571428572,-2.71428571428572,19930200,0,7,1979,6.70604395604396,1,1,1,1,573.195054945055,154.688186813187
"43","96 _79",1,1994,11,-0.443586845416361,-1.46581196581197,-4.07407407407408,-4.07407407407408,19880100,1,7,1979,-9.48931623931624,0,1,1,1,-82.1011396011396,-495.616096866097
"44","96 _79",1,1996,11,-0.499613916332835,0.553418803418803,0.925925925925924,0.925925925925924,19880100,1,10,1979,-8.49893162393163,0,1,1,1,27.4180911680912,-305.375712250712
"45","96 _79",1,1998,11,-0.119476625960026,2.45726495726496,0.925925925925924,0.925925925925924,19880100,1,7,1979,-8.4508547008547,0,1,1,1,103.571937321937,-303.452635327635
"46","96 _79",1,2000,11,-0.0874568554988748,4.64957264957265,0.925925925925924,0.925925925925924,19880100,1,10,1979,-6.54700854700855,0,1,1,1,191.264245014245,-227.298789173789
"47","96 _79",1,2002,11,-0.436633272427414,6.59188034188034,0.925925925925924,0.925925925925924,19880100,1,10,1979,-5.51816239316239,0,1,1,1,268.956552706553,-186.144943019943
"48","96 _79",1,2008,12,-0.108733849717442,-6.15811965811966,0.925925925925924,0.925925925925924,20080100,1,7,1979,5.85683760683761,0,1,1,1,-241.043447293447,268.855056980057
"49","96 _79",1,2012,12,-0.0614818510608366,-1.58119658119658,-2.40740740740741,-2.40740740740741,20080100,1,4,1979,8.56837606837607,0,1,1,1,-76.7485754985755,216.707621082621
"50","96 _79",2,2014,10,0.251962781367208,0.149572649572649,0.925925925925924,0.925925925925924,20080100,1,7,1979,9.70299145299145,0,1,1,1,11.264245014245,422.701210826211
"51","96 _79",1,2016,10,0.565407413795253,-5.1965811965812,0.925925925925924,0.925925925925924,20160100,1,10,1979,14.3760683760684,0,1,1,1,-202.581908831909,609.624287749288
"52","99 _79",1,2014,14,-0.413971503185069,0,0,0,20080200,1,7,1979,0,0,1,1,1,0,0
"53","100 _79",1,1994,12,0.00442818566751058,-11.0699300699301,3,3,19890100,0,10,1979,-5.73776223776223,0,1,1,1,-398.441142191142,-133.870337995338
"54","100 _79",1,1996,12,-0.004866258750436,-9.10839160839161,0,0,19890100,0,4,1979,-4.71853146853147,0,1,1,1,-343.056526806527,-177.562645687646
"55","100 _79",1,1998,12,-0.96020828659076,-7.18531468531468,-2,-2,19890100,1,7,1979,-3.68006993006993,0,1,1,1,-291.13344988345,-197.524184149184
"56","100 _79",1,2000,12,0.171658995378616,-4.89685314685315,-2,-2,19890100,1,4,1979,-2.8243006993007,0,1,1,1,-211.037296037296,-167.572261072261
"57","100 _79",1,2002,12,0.242836403320544,-3.0506993006993,-2,-2,19890100,1,7,1979,-1.74737762237762,0,1,1,1,-146.421911421911,-129.879953379953
"58","100 _79",1,2004,12,0.284007527540517,-1.10839160839161,-2,-2,19890100,1,10,1979,0.281468531468533,0,1,1,1,-78.4411421911423,-58.8703379953379
"59","100 _79",1,2008,13,0.26795694127896,2.85314685314685,-2,-2,19890100,1,4,1979,1.3006993006993,0,1,1,1,60.2127039627039,-23.1972610722612
"60","100 _79",1,2010,13,0.523752154720365,4.60314685314685,-0.333333333333336,-0.333333333333336,19890100,1,7,1979,2.4256993006993,0,1,1,1,157.135780885781,75.007867132867
"61","100 _79",1,2012,13,0.38171702789999,7.4493006993007,1.33333333333334,1.33333333333334,19890100,1,7,1979,4.00262237762238,0,1,1,1,301.911421911422,194.286713286713
"62","100 _79",1,2014,13,0.51277478713688,9.93006993006993,3,3,19890100,1,7,1979,4.76223776223777,0,1,1,1,441.558857808858,286.129662004662
"63","100 _79",1,2016,13,0.582866465817467,11.5839160839161,3,3,19890100,1,4,1979,5.93531468531469,0,1,1,1,507.712703962704,333.052738927739
"64","102 _79",1,1994,16,-0.432351521806485,-11.4307692307692,-3.3,-3.3,19880100,1,10,1979,-5.38461538461538,0,1,1,1,-472.663461538462,-298.268269230769
"65","102 _79",1,1996,16,-0.928172540120265,-9.37307692307692,-0.299999999999997,-0.299999999999997,19880100,1,10,1979,-4.41346153846154,0,1,1,1,-372.086538461538,-182.556730769231
"66","102 _79",1,1998,16,-0.0253307360461967,-7.37307692307692,1.7,1.7,19880100,1,10,1979,-3.41346153846154,0,1,1,0,-273.048076923077,-88.0759615384616
"67","102 _79",1,2002,16,-4.68329123313557,-3.58461538461538,-3.3,-3.3,19880100,1,10,1979,-2.30769230769231,0,1,1,0,-198.048076923077,-190.575961538462
"68","102 _79",1,2004,16,-1.56392508263141,-1.71923076923077,-3.3,-3.3,19880100,1,10,1979,-1.24038461538461,0,1,1,0,-132.759615384615,-153.220192307692
"69","102 _79",1,2008,16,1.05478770796533,2.08846153846154,1.7,1.7,19880100,1,10,1979,0.855769230769234,0,1,1,1,105.413461538461,82.6932692307694
"70","102 _79",1,2010,16,-2.11644709548261,4.81923076923077,1.7,1.7,19880100,1,10,1979,2.49038461538462,0,1,1,1,214.644230769231,148.077884615385
"71","102 _79",1,2012,16,-0.155227350230257,6.72307692307692,1.7,1.7,19880100,1,10,1979,3.53846153846154,0,1,1,1,290.798076923077,190.000961538462
"72","102 _79",1,2014,16,-1.78416420480931,8.89615384615385,1.7,1.7,19880100,1,10,1979,4.45192307692307,0,1,1,1,377.721153846154,226.539423076923
"73","102 _79",1,2016,16,0.0247447391474402,10.9538461538462,1.7,1.7,19880100,1,10,1979,5.42307692307693,0,1,1,1,460.028846153846,265.385576923077
"74","105 _79",1,1998,12,-1.02976497137337,0,0,0,19980100,0,7,1979,0,0,1,1,1,0,0
"75","108 _79",1,1994,20,0.163326949098751,0,0,0,19930100,0,7,1979,0,1,1,1,1,0,0
"76","129 _79",1,1994,16,0.437286243505881,-8.54967948717949,-3.54166666666666,-3.54166666666666,19840200,1,10,1979,-5.97516025641026,1,1,1,1,-466.098557692308,-381.617387820513
"77","129 _79",1,1996,16,0.425910600016353,-6.72275641025641,-3.54166666666666,-3.54166666666666,19840200,1,10,1979,-4.88862179487179,1,1,1,1,-389.367788461538,-335.982772435897
"78","129 _79",2,1998,16,0.419749512608929,-4.6650641025641,-3.54166666666666,-3.54166666666666,19840200,1,10,1979,-3.91746794871795,1,1,1,1,-302.944711538462,-295.194310897436
"79","129 _79",1,2000,16,0.498858412544145,-2.56891025641026,-3.54166666666666,-3.54166666666666,19840200,1,10,1979,-2.96554487179487,1,1,1,1,-214.90625,-255.213541666667
"80","129 _79",4,2000,16,0.498858412544145,-17.9727564102564,-3.54166666666666,-3.54166666666666,20000400,0,10,1979,4.73637820512821,1,1,1,1,-861.867788461538,68.2672275641025
"81","129 _79",1,2002,16,0.511970016246785,-0.607371794871796,4.45833333333334,4.45833333333334,19840200,1,10,1979,-1.9463141025641,1,1,1,1,23.170673076923,37.7479967948718
"82","129 _79",1,2004,16,0.506816539187261,1.25801282051282,-3.54166666666666,-3.54166666666666,19840200,1,10,1979,-0.879006410256409,1,1,1,1,-54.1754807692308,-167.578926282051
"83","129 _79",2,2004,16,0.506816539187261,-1.83814102564103,-3.54166666666666,-3.54166666666666,19860300,0,10,1979,0.669070512820518,1,1,1,1,-184.213942307692,-102.559695512821
"84","129 _79",1,2008,18,0.606732994765471,5.45032051282051,-3.54166666666666,-3.54166666666666,19840200,1,10,1979,1.02483974358974,1,1,1,1,121.901442307692,-87.6173878205129
"85","129 _79",1,2012,16,0.531092797528823,10.0272435897436,-0.0416666666666643,-0.0416666666666643,19840200,1,10,1979,3.73637820512821,1,1,1,1,419.46875,155.598958333333
"86","129 _79",1,2014,16,0.736749255197951,12.1041666666667,14.4583333333333,14.4583333333333,19840200,0,10,1979,4.69791666666667,1,1,1,1,980.478365384615,749.094150641026
"87","129 _79",1,2016,16,0.844118436213856,14.0849358974359,9.45833333333334,9.45833333333334,19840200,0,10,1979,5.70753205128205,1,1,1,1,928.555288461538,615.055689102564
"88","140 _79",2,1988,18,0.176723249748735,-12.8881118881119,-8.04545454545455,-8.04545454545455,19810100,1,1,1979,-12.3741258741259,0,1,1,0,-620.062062937063,-794.718968531469
"89","140 _79",1,1994,17,-0.321443553543524,-6.88811188811189,-8.04545454545455,-8.04545454545455,19810100,0,10,1979,-9.37412587412587,0,1,1,0,-410.062062937063,-689.718968531469
"90","140 _79",1,2000,17,1.21836982529503,-0.772727272727273,-8.04545454545455,-8.04545454545455,19810100,1,10,1979,-6.43181818181818,0,1,1,1,-196.023601398601,-586.738199300699
"91","140 _79",1,2002,17,2.19898021157053,1.18881118881119,-8.04545454545455,-8.04545454545455,19810100,1,10,1979,-5.41258741258741,0,1,1,1,-127.369755244755,-551.065122377622
"92","140 _79",1,2008,18,1.23682276897931,6.8041958041958,-8.04545454545455,-8.04545454545455,19810100,1,10,1979,-2.22027972027972,0,1,1,1,69.1687062937062,-439.334353146853
"93","140 _79",1,2010,18,1.19456451494933,8.65034965034965,-2.79545454545455,-2.79545454545455,19810100,1,10,1979,-1.14335664335664,0,1,1,1,288.659090909091,-211.329545454545
"94","140 _79",1,2012,17,1.40336075050683,11.6311188811189,2.45454545454545,2.45454545454545,19810100,1,10,1979,0.366258741258747,0,1,1,1,579.159090909091,47.6704545454545
"95","140 _79",2,2012,17,1.40336075050683,-19.5034965034965,7.70454545454545,7.70454545454545,20120200,1,10,1979,15.9335664335664,0,1,1,1,-830.398601398601,1035.9493006993
"96","140 _79",1,2014,20,0.967687446909641,-17.5227272727273,12.9545454545455,12.9545454545455,20120200,1,7,1979,16.9431818181818,0,1,1,1,-712.408216783217,1372.45410839161
"97","140 _79",2,2014,20,0.967687446909641,13.6118881118881,12.9545454545455,12.9545454545455,19810100,1,7,1979,1.37587412587413,0,1,1,1,1031.13024475524,500.684877622378
"98","140 _79",1,2016,20,1.33391456581125,15.6888111888112,6.95454545454545,6.95454545454545,19810100,1,10,1979,2.33741258741259,0,1,1,1,928.207167832168,316.146416083916
"99","157 _79",1,1998,15,0.899918004019792,-10.4871794871795,-13.3333333333333,-13.3333333333333,19980100,1,10,1979,-5.08974358974359,0,1,1,1,-793.605769230769,-811.530448717949
