job_number,union,public,hourly_pay_centered,avg_age_per_job_centered,tenure_centered,rotter_score_centered,rosenberg_score_centered,net_family_income_centered,urban,pay_age,pay_tenure,religion_catholic,religion_christian,religion_jewish,religion_no_religion,religion_other,ethnicity_black,ethnicity_hispanic,ethnicity_non_hispanic_or_black,gender_female,gender_male,highest_grade_advanced,highest_grade_college,highest_grade_high_school,highest_grade_other,highest_grade_primary_school
1,0,0,-0.4306964217184728,-12.162087912087912,-2.4615384615384617,0.3023915657404092,-4.615897029665756,-0.4795972622267737,1,5.238167744361756,1.06017580730701,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,-0.1140644037173661,-10.15247252747253,-2.480769230769231,0.3023915657404092,-4.615897029665756,-0.5454745458627261,1,1.1580357251030948,0.2829674630680813,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.0442441653594603,-9.267857142857146,-2.25,0.3023915657404092,-4.615897029665756,-0.5319557592153448,1,-0.41004860395642684,-0.09954937205878567,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0.1328211684843232,-8.037087912087912,-2.7115384615384617,0.3023915657404092,-4.615897029665756,-1.0466704848122586,1,-1.067495407694746,-0.3601497068517226,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,-0.2069707851795081,-7.4505494505494525,-1.8846153846153848,0.3023915657404092,-4.615897029665756,-1.072678363018614,1,1.5420460697989729,0.3900603259152268,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.0376766855952288,-6.171703296703299,-2.442307692307692,0.3023915657404092,-4.615897029665756,-0.9236993377708612,1,-0.23252932469692728,-0.0920180590498857,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.0,-5.085164835164836,-2.6153846153846154,0.3023915657404092,-4.615897029665756,-1.1647037939542797,1,-0.0,-0.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.0575633999322651,-3.104395604395606,-2.5769230769230766,0.3023915657404092,-4.615897029665756,-0.4795972622267737,1,0.1786995657237901,0.1483364536716062,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,0,-0.1220505217225964,-3.335164835164836,-2.1153846153846154,0.3023915657404092,-4.615897029665756,-0.4795972622267737,1,0.4070586081627255,0.2581837959516462,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.2035546105535628,-2.104395604395606,-0.5769230769230766,0.3023915657404092,-4.615897029665756,-0.4168011845334955,1,-0.428359427703377,-0.11743535224244002,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.0940738339310351,-0.1140109890109855,-2.5576923076923075,0.3023915657404092,-4.615897029665756,-0.3385583455603278,1,0.010725450846532519,0.24061192140053209,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
3,0,0,0.1635735133697275,-1.344780219780219,-0.0961538461538462,0.3023915657404092,-4.615897029665756,-0.3385583455603278,1,-0.21997042525956473,-0.015728222439396883,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.0195689620882975,1.7706043956043942,-0.3269230769230766,0.3023915657404092,-4.615897029665756,-0.5055934891714458,1,0.034648890290955296,-0.006397545298097254,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.2379904612713117,4.232142857142854,-1.25,0.3023915657404092,-4.615897029665756,-0.3157877598827205,1,1.007209630737515,-0.2974880765891396,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,0,-0.0754557481166005,3.4725274725274677,0.2692307692307691,0.3023915657404092,-4.615897029665756,-0.3157877598827205,1,-0.26202215829500797,-0.020315009108315508,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.0212232922127695,6.712912087912088,-2.2115384615384617,0.3023915657404092,-4.615897029665756,-0.4031980054570017,1,-0.14247009484039086,0.046936127009009475,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,0,0.2299259014345818,5.578296703296701,0.0576923076923079,0.3023915657404092,-4.615897029665756,-0.4031980054570017,1,1.2825948979750499,0.013264955851995152,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.262361177187735,6.030219780219781,1.1538461538461535,0.3023915657404092,-4.615897029665756,-0.1625747683006313,0,1.5820955602392264,0.30272443521661724,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,0,-0.1428240148934092,7.3859890109890145,-1.5576923076923077,0.3023915657404092,-4.615897029665756,-0.1625747683006313,0,-1.0548966045080517,0.2224758693531951,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.2970276471384157,7.059065934065934,3.096153846153846,0.3023915657404092,-4.615897029665756,-0.1919460514446207,0,2.096737745390547,0.9196432921016331,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.3568566100277524,8.174450549450547,4.865384615384616,0.3023915657404092,-4.615897029665756,-0.1739770944738801,0,2.91710671191642,1.7362446603273338,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.0057305441179735,9.587912087912088,8.03846153846154,0.3023915657404092,-4.615897029665756,-0.0895657145360342,0,-0.05494395321903163,-0.04606475848678699,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
2,0,1,-0.3731300151968311,14.635989010989016,-2.0576923076923075,0.3023915657404092,-4.615897029665756,-0.0895657145360342,0,-5.461126802090985,0.7677867620396331,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0.2235435182954912,10.645604395604394,9.923076923076923,0.3023915657404092,-4.615897029665756,-0.2620364336168101,0,2.3797558609753526,2.218239527701413,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0.2707247609272469,11.94368131868132,11.326923076923077,0.3023915657404092,-4.615897029665756,-0.4795972622267737,0,3.2334502695912253,3.066478542041316,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,-0.2570130982427621,-10.83653846153846,-4.966923076923077,-2.6976084342595907,-4.115897029665756,0.6944392298318487,1,2.785132324226854,1.276564288733473,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,-0.0682438889590031,-10.35576923076923,-3.928461538461538,-2.6976084342595907,-4.115897029665756,0.0305764449906984,1,0.7067179654696762,0.2680934930104837,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,0.1029800338375288,-9.903846153846152,-2.832307692307692,-2.6976084342595907,-4.115897029665756,0.0725914030147443,1,-1.019898412044756,-0.2916711419921392,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,1,-0.0062126106130238,-9.51923076923077,-1.6015384615384614,-2.6976084342595907,-4.115897029665756,0.8855479457766879,1,0.05913927410474579,0.009949734843319654,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,0.2766561356487127,-8.971153846153843,-0.6976923076923072,-2.6976084342595907,-4.615897029665756,0.707641353465327,1,-2.4819247553870083,-0.19302085771798635,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0.0872440222181767,-8.663461538461537,0.686923076923077,-2.6976084342595907,-4.544468458237184,0.4406931993932321,1,-0.7558352309478577,0.05992993218525523,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,0.330204545268991,-8.08653846153846,1.5330769230769228,-2.6976084342595907,-4.473039886808614,0.7134229155508844,1,-2.670211755492513,0.5062289682469993,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,0.2679157438654354,-3.33653846153846,-5.966923076923076,-2.6976084342595907,-4.401611315380041,0.5952468082288664,1,-0.8939111838587118,-1.5986326347416784,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0.1943412433094895,-2.9519230769230766,-4.7361538461538455,-2.6976084342595907,-4.330182743951472,0.5742734680340646,1,-0.5736804009232045,-0.920430026966559,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,1,0.0368513104991663,-2.3749999999999964,-3.89,-2.6976084342595907,-4.258754172522899,0.7447768056747854,1,-0.08752186243551982,-0.1433515978417569,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,-0.1884056574794099,0.85576923076923,-6.351538461538461,-2.6976084342595907,-4.187325601094329,0.1893752710322918,1,-0.16123176457372562,1.1966657798519136,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,0,-0.475830759609849,0.8846153846153868,-6.409230769230769,-2.6976084342595907,-4.115897029665756,0.1893752710322918,1,-0.42092721042409825,3.0497091454378937,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,-0.2850065696892274,2.30769230769231,-5.255384615384616,-2.6976084342595907,-4.044468458237184,-0.3136306403604791,1,-0.6577074685136024,1.497819141628309,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2,0,0,-0.2455187188170269,2.750000000000004,-6.14,-2.6976084342595907,-3.973039886808614,-0.3136306403604791,1,-0.6751764767468249,1.507484933536545,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0.220989010968351,3.51923076923077,-3.678461538461538,-2.6976084342595907,-3.901611315380041,0.5614491551430802,1,0.777711327061697,-0.812899577269734,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0.3677898148802114,4.461538461538464,-1.563076923076923,-2.6976084342595907,-3.830182743951472,0.6492738875810034,0,1.640908404850175,-0.5748837721819919,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0.0877413672835016,5.35576923076923,0.6484615384615386,-2.6976084342595907,-3.758754172522899,0.5491916759068136,0,0.4699225151625998,0.05689690201537836,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,-0.6880882503877892,6.30769230769231,2.7446153846153845,-2.6976084342595907,-3.6873256010943294,0.449316293746314,0,-4.340248963984518,-1.888537597987409,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
