variable_id,name,variable,description,year,job_number
R0000100,CASEID,id,IDENTIFICATION CODE,1979,NA
R0050800,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1979,NA
R0068710,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1979,1
R0069010,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1979,2
R0069310,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1979,3
R0069610,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1979,4
R0069910,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1979,5
R0070500,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1979,1
R0070600,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1979,2
R0070700,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1979,3
R0070800,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1979,4
R0070900,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1979,5
R0090500,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1979,2
R0090600,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1979,3
R0090700,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1979,4
R0090800,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1979,5
R0091710,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1979,1
R0091910,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1979,2
R0092110,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1979,3
R0092310,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1979,4
R0092510,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1979,5
R0173600,SAMPLE_ID,sample_id,SAMPLE IDENTIFICATION CODE,1979,NA
R0214700,SAMPLE_RACE,race,R'S RACIAL/ETHNIC COHORT FROM SCREENER,1979,NA
R0214800,SAMPLE_SEX,gender,SEX OF R,1979,NA
R0216500,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1979,NA
R0267800,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1980,NA
R0333221,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1980,1
R0337800,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1980,1
R0338500,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1980,1
R0338910,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1980,1
R0344721,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1980,2
R0349300,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1980,2
R0350000,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1980,2
R0350410,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1980,2
R0356221,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1980,3
R0360800,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1980,3
R0361500,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1980,3
R0361910,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1980,3
R0367721,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1980,4
R0372300,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1980,4
R0373000,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1980,4
R0373410,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1980,4
R0379221,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1980,5
R0383800,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1980,5
R0384500,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1980,5
R0384910,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1980,5
R0406510,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1980,NA
R0449200,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1981,NA
R0539410,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1981,1
R0545600,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1981,1
R0546200,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1981,1
R0546610,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1981,1
R0552510,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1981,2
R0558700,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1981,2
R0559300,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1981,2
R0559710,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1981,2
R0565610,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1981,3
R0571800,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1981,3
R0572400,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1981,3
R0572810,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1981,3
R0578710,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1981,4
R0584900,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1981,4
R0585500,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1981,4
R0585910,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1981,4
R0591810,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1981,5
R0598000,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1981,5
R0598600,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1981,5
R0599010,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1981,5
R0619010,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1981,NA
R0706500,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1982,NA
R0833810,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1982,1
