variable;variable_id;job_number;year
id;R0000100;;1997
industry;R0171900;1;1997
industry;R0172000;2;1997
industry;R0172100;3;1997
industry;R0172200;4;1997
industry;R0172300;5;1997
industry;R0172400;6;1997
industry;R0172500;7;1997
job_satisfaction;R0244700;1;1997
job_satisfaction;R0244800;2;1997
job_satisfaction;R0244900;3;1997
job_satisfaction;R0245000;4;1997
job_satisfaction;R0245100;5;1997
job_satisfaction;R0245200;6;1997
job_satisfaction;R0245300;7;1997
start_month;R0529701;1;1997
start_year;R0529702;1;1997
start_month;R0529801;2;1997
start_year;R0529802;2;1997
start_month;R0529901;3;1997
start_year;R0529902;3;1997
start_month;R0530001;4;1997
start_year;R0530002;4;1997
start_month;R0530101;5;1997
start_year;R0530102;5;1997
start_month;R0530201;6;1997
start_year;R0530202;6;1997
start_month;R0530301;7;1997
start_year;R0530302;7;1997
stop_month;R0530401;1;1997
stop_year;R0530402;1;1997
stop_month;R0530501;2;1997
stop_year;R0530502;2;1997
stop_month;R0530601;3;1997
stop_year;R0530602;3;1997
stop_month;R0530701;4;1997
stop_year;R0530702;4;1997
stop_month;R0530801;5;1997
stop_year;R0530802;5;1997
stop_month;R0530901;6;1997
stop_year;R0530902;6;1997
stop_month;R0531001;7;1997
stop_year;R0531002;7;1997
employer_id;R0531100;1;1997
employer_id;R0531200;2;1997
employer_id;R0531300;3;1997
employer_id;R0531400;4;1997
employer_id;R0531500;5;1997
employer_id;R0531600;6;1997
employer_id;R0531700;7;1997
age;R1194100;;1997
hourly_pay;R1208500;1;1997
hourly_pay;R1208600;2;1997
hourly_pay;R1208700;3;1997
hourly_pay;R1208800;4;1997
hourly_pay;R1208900;5;1997
hourly_pay;R1209000;6;1997
hourly_pay;R1209100;7;1997
hours_worked;R1209101;1;1997
hours_worked;R1209102;2;1997
hours_worked;R1209103;3;1997
hours_worked;R1209104;4;1997
hours_worked;R1209105;5;1997
hours_worked;R1209106;6;1997
hours_worked;R1209107;7;1997
industry;R1846600;1;1998
industry;R1846700;2;1998
industry;R1846800;3;1998
industry;R1846900;4;1998
industry;R1847000;5;1998
industry;R1847100;6;1998
industry;R1847200;7;1998
industry;R1847300;8;1998
industry;R1847400;9;1998
job_satisfaction;R2050800;1;1998
job_satisfaction;R2050900;2;1998
job_satisfaction;R2051000;3;1998
job_satisfaction;R2051100;4;1998
job_satisfaction;R2051200;5;1998
job_satisfaction;R2051300;6;1998
job_satisfaction;R2051400;7;1998
job_satisfaction;R2051500;9;1998
start_month;R2472501;1;1998
start_year;R2472502;1;1998
start_month;R2472601;2;1998
start_year;R2472602;2;1998
start_month;R2472701;3;1998
start_year;R2472702;3;1998
start_month;R2472801;4;1998
start_year;R2472802;4;1998
start_month;R2472901;5;1998
start_year;R2472902;5;1998
start_month;R2473001;6;1998
start_year;R2473002;6;1998
start_month;R2473101;7;1998
start_year;R2473102;7;1998
start_month;R2473201;8;1998
start_year;R2473202;8;1998
start_month;R2473301;9;1998
start_year;R2473302;9;1998
stop_month;R2473401;1;1998
stop_year;R2473402;1;1998
stop_month;R2473501;2;1998
stop_year;R2473502;2;1998
stop_month;R2473601;3;1998
stop_year;R2473602;3;1998
stop_month;R2473701;4;1998
stop_year;R2473702;4;1998
stop_month;R2473801;5;1998
stop_year;R2473802;5;1998
stop_month;R2473901;6;1998
stop_year;R2473902;6;1998
stop_month;R2474001;7;1998
stop_year;R2474002;7;1998
stop_month;R2474101;8;1998
stop_year;R2474102;8;1998
stop_month;R2474201;9;1998
stop_year;R2474202;9;1998
employer_id;R2476100;1;1998
employer_id;R2476200;2;1998
employer_id;R2476300;3;1998
employer_id;R2476400;4;1998
employer_id;R2476500;5;1998
employer_id;R2476600;6;1998
employer_id;R2476700;7;1998
employer_id;R2476800;8;1998
employer_id;R2476900;9;1998
age;R2553500;;1998
hourly_pay;R2567200;1;1998
hourly_pay;R2567300;2;1998
hourly_pay;R2567400;3;1998
hourly_pay;R2567500;4;1998
hourly_pay;R2567600;5;1998
hourly_pay;R2567700;6;1998
hourly_pay;R2567800;7;1998
hourly_pay;R2567900;8;1998
hourly_pay;R2568000;9;1998
hours_worked;R2568001;1;1998
hours_worked;R2568002;2;1998
hours_worked;R2568003;3;1998
hours_worked;R2568004;4;1998
hours_worked;R2568005;5;1998
hours_worked;R2568006;6;1998
hours_worked;R2568007;7;1998
hours_worked;R2568008;8;1998
hours_worked;R2568009;9;1998
industry;R3189000;1;1999
industry;R3189100;2;1999
industry;R3189200;3;1999
industry;R3189300;4;1999
industry;R3189400;5;1999
industry;R3189500;6;1999
industry;R3189600;7;1999
industry;R3189700;8;1999
industry;R3189800;9;1999
job_satisfaction;R3388000;1;1999
job_satisfaction;R3388100;2;1999
job_satisfaction;R3388200;3;1999
job_satisfaction;R3388300;4;1999
job_satisfaction;R3388400;5;1999
job_satisfaction;R3388500;6;1999
job_satisfaction;R3388600;7;1999
job_satisfaction;R3388700;9;1999
start_month;R3786401;1;1999
start_year;R3786402;1;1999
start_month;R3786501;2;1999
start_year;R3786502;2;1999
start_month;R3786601;3;1999
start_year;R3786602;3;1999
start_month;R3786701;4;1999
start_year;R3786702;4;1999
start_month;R3786801;5;1999
start_year;R3786802;5;1999
start_month;R3786901;6;1999
start_year;R3786902;6;1999
start_month;R3787001;7;1999
start_year;R3787002;7;1999
start_month;R3787101;8;1999
start_year;R3787102;8;1999
start_month;R3787201;9;1999
start_year;R3787202;9;1999
stop_month;R3787301;1;1999
stop_year;R3787302;1;1999
stop_month;R3787401;2;1999
stop_year;R3787402;2;1999
stop_month;R3787501;3;1999
stop_year;R3787502;3;1999
stop_month;R3787601;4;1999
stop_year;R3787602;4;1999
stop_month;R3787701;5;1999
stop_year;R3787702;5;1999
stop_month;R3787801;6;1999
stop_year;R3787802;6;1999
stop_month;R3787901;7;1999
stop_year;R3787902;7;1999
stop_month;R3788001;8;1999
stop_year;R3788002;8;1999
stop_month;R3788101;9;1999
stop_year;R3788102;9;1999
employer_id;R3790000;1;1999
employer_id;R3790100;2;1999
employer_id;R3790200;3;1999
employer_id;R3790300;4;1999
employer_id;R3790400;5;1999
employer_id;R3790500;6;1999
employer_id;R3790600;7;1999
employer_id;R3790700;8;1999
employer_id;R3790800;9;1999
age;R3876300;;1999
hourly_pay;R3888900;1;1999
hourly_pay;R3889000;2;1999
hourly_pay;R3889100;3;1999
hourly_pay;R3889200;4;1999
hourly_pay;R3889300;5;1999
hourly_pay;R3889400;6;1999
hourly_pay;R3889500;7;1999
hourly_pay;R3889600;8;1999
hourly_pay;R3889700;9;1999
hours_worked;R3889701;1;1999
hours_worked;R3889702;2;1999
hours_worked;R3889703;3;1999
hours_worked;R3889704;4;1999
hours_worked;R3889705;5;1999
hours_worked;R3889706;6;1999
hours_worked;R3889707;7;1999
hours_worked;R3889708;8;1999
hours_worked;R3889709;9;1999
industry;R4471400;1;2000
industry;R4471500;2;2000
industry;R4471600;3;2000
industry;R4471700;4;2000
industry;R4471800;5;2000
industry;R4471900;6;2000
industry;R4472000;7;2000
industry;R4472100;8;2000
industry;R4472200;9;2000
job_satisfaction;R4771900;1;2000
job_satisfaction;R4772000;2;2000
job_satisfaction;R4772100;3;2000
job_satisfaction;R4772200;4;2000
job_satisfaction;R4772300;5;2000
job_satisfaction;R4772400;6;2000
job_satisfaction;R4772500;7;2000
job_satisfaction;R4772600;8;2000
job_satisfaction;R4772700;9;2000
start_month;R5310101;1;2000
start_year;R5310102;1;2000
start_month;R5310201;2;2000
start_year;R5310202;2;2000
start_month;R5310301;3;2000
start_year;R5310302;3;2000
start_month;R5310401;4;2000
start_year;R5310402;4;2000
start_month;R5310501;5;2000
start_year;R5310502;5;2000
start_month;R5310601;6;2000
start_year;R5310602;6;2000
start_month;R5310701;7;2000
start_year;R5310702;7;2000
start_month;R5310801;8;2000
start_year;R5310802;8;2000
start_month;R5310901;9;2000
start_year;R5310902;9;2000
stop_month;R5311001;1;2000
stop_year;R5311002;1;2000
stop_month;R5311101;2;2000
stop_year;R5311102;2;2000
stop_month;R5311201;3;2000
stop_year;R5311202;3;2000
stop_month;R5311301;4;2000
stop_year;R5311302;4;2000
stop_month;R5311401;5;2000
stop_year;R5311402;5;2000
stop_month;R5311501;6;2000
stop_year;R5311502;6;2000
stop_month;R5311601;7;2000
stop_year;R5311602;7;2000
stop_month;R5311701;8;2000
stop_year;R5311702;8;2000
stop_month;R5311801;9;2000
stop_year;R5311802;9;2000
employer_id;R5313700;1;2000
employer_id;R5313800;2;2000
employer_id;R5313900;3;2000
employer_id;R5314000;4;2000
employer_id;R5314100;5;2000
employer_id;R5314200;6;2000
employer_id;R5314300;7;2000
employer_id;R5314400;8;2000
employer_id;R5314500;9;2000
age;R5453700;;2000
hourly_pay;R5471000;1;2000
hourly_pay;R5471100;2;2000
hourly_pay;R5471200;3;2000
hourly_pay;R5471300;4;2000
hourly_pay;R5471400;5;2000
hourly_pay;R5471500;6;2000
hourly_pay;R5471600;7;2000
hourly_pay;R5471700;8;2000
hourly_pay;R5471800;9;2000
hours_worked;R5471801;1;2000
hours_worked;R5471802;2;2000
hours_worked;R5471803;3;2000
hours_worked;R5471804;4;2000
hours_worked;R5471805;5;2000
hours_worked;R5471806;6;2000
hours_worked;R5471807;7;2000
hours_worked;R5471808;8;2000
hours_worked;R5471809;9;2000
industry;R6132100;1;2001
industry;R6132200;2;2001
industry;R6132300;3;2001
industry;R6132400;4;2001
industry;R6132500;5;2001
industry;R6132600;6;2001
industry;R6132700;7;2001
job_satisfaction;R6401500;1;2001
job_satisfaction;R6401600;2;2001
job_satisfaction;R6401700;3;2001
job_satisfaction;R6401800;4;2001
job_satisfaction;R6401900;5;2001
job_satisfaction;R6402000;6;2001
job_satisfaction;R6402100;7;2001
start_month;R7051101;1;2001
start_year;R7051102;1;2001
start_month;R7051201;2;2001
start_year;R7051202;2;2001
start_month;R7051301;3;2001
start_year;R7051302;3;2001
start_month;R7051401;4;2001
start_year;R7051402;4;2001
start_month;R7051501;5;2001
start_year;R7051502;5;2001
start_month;R7051601;6;2001
start_year;R7051602;6;2001
start_month;R7051701;7;2001
start_year;R7051702;7;2001
start_month;R7051801;8;2001
start_year;R7051802;8;2001
stop_month;R7051901;1;2001
stop_year;R7051902;1;2001
stop_month;R7052001;2;2001
stop_year;R7052002;2;2001
stop_month;R7052101;3;2001
stop_year;R7052102;3;2001
stop_month;R7052201;4;2001
stop_year;R7052202;4;2001
stop_month;R7052301;5;2001
stop_year;R7052302;5;2001
stop_month;R7052401;6;2001
stop_year;R7052402;6;2001
stop_month;R7052501;7;2001
stop_year;R7052502;7;2001
stop_month;R7052601;8;2001
stop_year;R7052602;8;2001
employer_id;R7053500;1;2001
employer_id;R7053600;2;2001
employer_id;R7053700;3;2001
employer_id;R7053800;4;2001
employer_id;R7053900;5;2001
employer_id;R7054000;6;2001
employer_id;R7054100;7;2001
employer_id;R7054200;8;2001
age;R7216000;;2001
hourly_pay;R7234900;1;2001
hourly_pay;R7235000;2;2001
hourly_pay;R7235100;3;2001
hourly_pay;R7235200;4;2001
hourly_pay;R7235300;5;2001
hourly_pay;R7235400;6;2001
