iter	Passed	Remaining
0	57	5704
1	58	2889
2	60	1967
3	62	1489
4	64	1232
5	65	1025
6	66	879
7	66	769
8	67	684
9	68	614
10	69	558
11	69	512
12	70	473
13	71	441
14	72	410
15	73	383
16	74	362
17	74	340
18	76	325
19	92	371
20	93	353
21	95	340
22	97	325
23	97	309
24	98	294
25	98	281
26	99	269
27	100	258
28	101	247
29	101	237
30	102	228
31	103	219
32	116	237
33	124	242
34	129	239
35	130	231
36	130	222
37	136	222
38	137	214
39	138	207
40	138	199
41	140	193
42	140	186
43	143	182
44	147	180
45	148	173
46	149	168
47	150	163
48	151	157
49	152	152
50	154	148
51	155	143
52	156	139
53	157	134
54	158	129
55	159	124
56	159	120
57	160	116
58	161	112
59	161	107
60	162	103
61	163	100
62	164	96
63	165	93
64	166	89
65	167	86
66	167	82
67	168	79
68	168	75
69	169	72
70	172	70
71	173	67
72	174	64
73	174	61
74	175	58
75	175	55
76	176	52
77	177	49
78	177	47
79	178	44
80	178	41
81	179	39
82	179	36
83	180	34
84	180	31
85	181	29
86	181	27
87	182	24
88	183	22
89	183	20
90	184	18
91	184	16
92	185	13
93	185	11
94	189	9
95	190	7
96	191	5
97	193	3
98	193	1
99	194	0
